"Specific Term","Generic Term","Associated Meeting","Proposer","Year of Proposal","Discoverer","Year of Discovery","Origin of Name","Additional Information","Coordinates","Secondary Coordinates"
"Crosley","Seamount",,,,,,,,"POINT (-152.433333 16.916667)",
"Cross","Seamount",,,,,,,,"POINT (-158.260986328232 18.7044794949818)",
"Crough","Seamount",,,,,,,,"POINT (-121.75 -24.75)",
"Crozet","Basin",,,,,,,,"POINT (60 -39)",
"Crozon","Seachannel","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Crozon is a small town on the Western Brittany coast.",,"LINESTRING (-6.725 47.041667, -7.266667 46.171667)",
"Crozon","Canyon","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Crozon is a small town on the western Brittany coast.",,"LINESTRING (-6.5383 47.4367, -6.5872 47.4069, -6.61 47.3713, -6.6328 47.3364, -6.6615 47.306, -6.6977 47.2675, -6.7057 47.2178, -6.7319 47.1642, -6.7205 47.0966, -6.725 47.0417)",
"Cruiser","Seamount",,,,,,,"Shown as Cruiser Tablemount in the ACUF Gazetteer.","POINT (-27.616667 32.383333)",
"Cruzeiro do Sul","Rift","SCUFN-24","Brazilian Hydrographic Office (DHN), Directorate of Hydrography and Navigation, Barão de Jaceguay Street, Ponta da Armação, Niterói, 24.048-900 Rio de Janeiro, Brazil","2011",,,"Cruzeiro do Sul is the name of a five star constellation that indicates the South Pole (in English: South Cross). It is used as a national symbol by several southern nations and also appear in the Brazilian flag. The feature proposed is located in the Cruzeiro do Sul deformation zone, already described in scientific works. ","Reference: Mohriak W. U., Nóbrega M., Odegard M. E., Gomes B. S. and Dickson W. G. 2010. Geological and geophysical interpretation of the Rio Grande Rise, south-eastern Brazilian margin: extensional tectonics and rifting of continental and oceanic crusts. Petroleum Geoscience, v. 16, 231-245; DOI: 10.1144/1354-079309-910.","POINT (-33.2658 -31.9913)","LINESTRING (-37.0597 -29.7588, -36.0388 -30.5267, -35.0938 -30.9878, -33.8408 -31.6053, -32.5055 -32.8105, -31.273 -33.725, -30.2458 -34.3067, -28.8695 -34.63)"
"Cunas","Trough","SCUFN-11","Colombian Hydrographic Office (CIOH), Centro Investigaciones Oceanográficas e Hidrográficas Caribe",,"Colombian Hydrographic Office (CIOH), Centro Investigaciones Oceanográficas e Hidrográficas Caribe",,"""Cunas""is an Indian word.",,"LINESTRING (-80.733333 13.5, -80.516667 13.816667, -80.216667 14.233333)",
"Currituck","Seamount","SCUFN-18",,,,,,"Shown on NIWA 1:1,000,000 Esperance sheet. The most northern in a group of three seamounts at the northern end of the Louisville Seamount Chain east of the Kermadec Islands, in the South Pacific Basin. Minimum depth: 1750 m; Total relief: 1750 m.","POINT (-173.233333 -30.2)",
"Curumani","Valley","SCUFN-11","Colombian Hydrographic Office (CIOH), Centro Investigaciones Oceanográficas e Hidrográficas Caribe",,"Colombian Hydrographic Office (CIOH), Centro Investigaciones Oceanográficas e Hidrográficas Caribe",,"""Curumani""is an Indian name.","Shown as Curumanì Valley in ACUF Gazetteer.","LINESTRING (-79.216667 16, -79.316667 15.633333)",
"Cuvier","Abyssal Plain",,"J. J. Doyle, Australian Hydrographic Service (AHS)",,,,"Named after the adjacent coastal feature Cape Cuvier, so named during the French expedition under Baudin 1802.","Taken from the AGSO bathymetric map ""Cuvier."" Formerly, Cuvier Basin. It was considered at SCGN/10 (1993) that Abyssal Plain is more accurate than Basin. Shown as Basin on INT Charts. Shown as Cuvier Plain in ACUF Gazetteer.","POINT (110.833333 -22)",
"Cuvier","Plateau",,"J. J. Doyle, Australian Hydrographic Service (AHS)",,,,"Cuvier is a historical name for feature in this area. Presumably after the coastal feature, Cape Cuvier. Name originates from the French expedition led by Baudin in 1800-1803. Reportedly after Georges Cuvier, zoologist and statesman, 1769-1832.","Incorrectly named Wallaby Plateau by Symonds and Cameron, 1977. The incorrect name appears on the AGSO bathymetric map ""Hartog"" which this feature was taken from.","LINESTRING (108.65 -23.1, 108.5 -25.25)",
"Cuvier","Canyon",,,,,,,,"POINT (140 -64.666667)",
"Cyprus","Basin",,,,,,,,"POINT (34 34.75)",
"Cyrene","Seamount",,,,,,,,"POINT (19.933333 33.533333)",
"D'Artagnan","Canyon","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Named after D'Artagnan, one of the famous musketeers. This name is proposed because of the vicinity of the region where he was born.",,"LINESTRING (-3.05 45.228333, -3.245 44.846667)",
"Da Vinci","Bank","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Named after Leonardo da Vinci (1452-1519), who discovered and described the principle for sound propagation in water. He also designed a submarine.","Least depth: <300 m. Shown as Vinci Bank in ACUF Gazetteer.","POINT (-34.5 -77.5)",
"Dacheng","Guyot","SCUFN-26","Zhanhai Zhang, Sub Committee on Undersea Feature Names of China Committee on Geographical Names, Sub Committee on Undersea Feature Names of China Committee on Geographical Names (attn: Zhanhai ZHANG), No.1 Fuxingmenwai Ave. Beijing, China","2013","Chinese research vessel ""Dayang Yihao""","2001","""Dacheng"" comes from Shijing-Xiaoya (Shijing is a collection of ancient Chinese poems from 11 B.C. to 6 B.C.). This poem is written to eulogize King Zhou Xuan for his valiancy, resolution and strength. This seamount is named Dacheng to praise the China ocean expedition team for their spirit to overcome difficulties and courage to explore the sea.",,"POINT (160.6717 21.6967)","POLYGON ((160.6917 21.8733, 160.61 21.8667, 160.5233 21.8483, 160.37 21.7783, 160.32 21.7167, 160.315 21.66, 160.3667 21.5517, 160.455 21.48, 160.575 21.42, 160.6717 21.4117, 160.7483 21.4733, 160.8183 21.5517, 160.8583 21.6317, 160.885 21.7167, 160.88 21.795, 160.855 21.8583, 160.7783 21.87, 160.6917 21.8733))"
"Dacia","Seamount",,,,,,,,"POINT (-13.583333 31.166667)",
"Dahra","Valley",,,,,,,,"POINT (2 36.8)",
"Daigo-Kashima","Seamount",,,,,,,,"POINT (144.316667 35.766667)",
"Daiichi-Kinan","Seamount",,,,,,,,"POINT (136.3 30.466667)",
"Daiichi-Shima","Knoll","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after nearby land area called Shima (Daiichi=N°1, in Japanese).","Relief: 500 m; Least depth: 1290 m. Taken from Japanese Bathymetric Chart No. 6602.","POINT (137.166667 33.64)",
"Daiichi-Sofu","Knoll","SCUFN-14","Hydrographic Department, JCG, Japan",,,,"Named after the nearby Sofu Rock.""Daiichi""means""first""in Japanese.""Sofu""is the Japanese term for""widow.""","Relief: 400 m; Least depth: 2200 m.","POINT (140.075 29.891667)",
"Daiiti-Kashima","Seamount",,,,,,,"Shown as Kashima Tablemount in the ACUF Gazetteer.","POINT (142.666667 35.816667)",
"Daini-Atsumi","Knoll","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby Atsumi peninsula (Daini=N°2 in Japanese).","Taken from Japanese Bathymetric Chart No. 6602.","POINT (137.333472 33.921667)",
"Daini-Kashima","Seamount","SCUFN-12",,,,,"Named after the nearby city of Kashima, Japan.",,"POINT (143.500686728873 36.0364875028639)",
"Daini-Kinan","Seamount",,,,,,,,"POINT (136.716667 30.166667)",
"Daini-Tenryu","Knoll","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby Tenryu River (Daini=N°2, in Japanese).","Relief: 500 m; Least depth: 328 m. Taken from Japanese Bathymetric Chart No. 6602.","POINT (137.818333 34.15)",
"Daisan-Kashima","Seamount","SCUFN-12",,,,,"Named after the nearby city of Kashima, Japan.",,"POINT (143.783333 36.183333)",
"Daisan-Shima","Knoll","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby land area called Shima (Daisan=N°3 in Japanese).","Relief: 400 m; Least depth: 1390 m. Taken from Japanese Bathymetric Chart No. 6602.","POINT (137.141667 33.491667)",
"Daito","Ridge","SCUFN-14","Japanese Committee on Undersea Feature Names (JCUFN), c/o Japan Hydrographic and Oceanographic Department (JHOD), 5-3-1 Tsukiji, Chuo-ku, Tokyo 104-0045, Japan",,,,"Named after the nearby island of Daito.","Relief: 3500-5000 m above deep basin floor. Several hills or knolls above general 1500-2000 m depth. Indistinct intersection with Kyushu-Palau Ridge at east end. Eastern limit not obvious. Two islands near west end. Taken from Japanese Bathymetric Chart No. 6725. Shown as Daitô Ridge in ACUF Gazetteer.","LINESTRING (130.083333 26.5, 132 25.666667, 133.25 25.3, 134.583333 25.75)",
"Daiyon-Kashima","Seamount","SCUFN-12",,,,,"Named after the nearby city of Kashima.",,"POINT (143.973034667963 36.2846408886609)",
"Dakar","Canyon",,,,,,,,"POINT (-18.25 14.166667)",
"Dall","Seamount",,,,,,,,"POINT (-145.583333 58.166667)",
"Dallmann","Seamount","SCUFN-12","Rick Hagen, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,"German research vessel ""Polarstern""",,"Named after Eduard Dallmann (1839-1896), ship's captain and polar explorer who surveyed the area west of Graham Land up to about 66°S.","Last depth: 2100 m.","POINT (-96.883333 -67.166667)",
"Dalton","Knoll","SCUFN-13",,,,,"Named after Hon. John H. Dalton, former Secretary of the U.S. Navy.","Adopted from the ACUF Gazetteer.","POINT (-156.618477375873 49.3797571805982)",
"Daly","Canyon",,,,,,,,"POINT (62.5 -65.5)",
"Daly","Seamount",,,,,,,,"POINT (-157.666667 18.133333)",
"Dampier","Seamount",,,,,,,,"POINT (-0.45 -11.15)",
"Dampier","Ridge","SCUFN-11",,,,,"Named after the 19th century British navigator and explorer.",,"LINESTRING (157.08333333 -26.75, 157.85741655 -27.41464181875, 158.2591286 -28.3528028, 158.1838182 -29.7585936, 157.8404108 -30.0401772, 157.5489662 -30.5847182, 157.6333318 -31.1369286, 157.4492616 -31.750496, 157.728819 -32.6643132, 158.5 -34)",
"Dana","Fracture Zone",,,,,,,,"LINESTRING (-97.75 -12, -93.5 -13.5)",
"Dana","Seamount",,,,,,,,"POINT (-155.956775816209 18.6530887315674)",
"Dangeart","Canyon","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Named after Mr. Dangeart, oceanographer and professor at Caen University.",,"LINESTRING (-9.8083 48.3167, -9.8456 48.2896, -9.8655 48.2645, -9.8755 48.2349, -9.8921 48.1987, -9.9131 48.1617, -9.9505 48.1374, -9.982 48.1296, -10.0252 48.1318, -10.0691 48.1157, -10.1167 48.0867)",
"Danil''chuk","Seamount","SCUFN-24","The Department of Navigation and Oceanography of the RF Ministry of Defence. 11 liniya, B-34, 199034, St. Petersburg (main@gunio.ru)",,"Submarine ""K-496""",,"Proposer: The Department of Navigation and Oceanography of the RF Ministry of Defence. 11 liniya, B-34, 199034, St. Petersburg (main@gunio.ru)
Date of Proposal: 2 August 2011
Discoverer: Submarine ¿K-496¿
Date of Discovery: 1997

Named after Vasiliy Danilovich Danil''chuk (1928-2004), a Russian hydrographer who for more than 25 years served in units of the Northern and Baltic Sea Fleets of the Hydrographic Service. He was engaged in hydrographic research in the northern seas, including the Norwegian Sea.","Position: Arctic Ocean
Minimum Depth: 2106 m
Maximum Depth: 3800 m
Total Relief: 1700 m
Dimension/Size: 30 km","POINT (-2.8 81.2)",
"Danilevsky","Seamount",,"Russian Federal Research Institute of Fisheries and Oceanography (VNIRO), VNIRO, 17 V. Krasnoselskaya St., Moscow 107140, Russian Federation",,"R/V Zvezda Sevastopolja",,"Named after Russian Fisheries oceanographer N. N. Danilevsky (1904-1980), explorer of the Atlantic and Indian Oceans.","Minimum depth: 400 m.","POINT (47.7 -38.533333)",
"Danube","Fan",,,,,,,"Shown as Danube Cone in the ACUF Gazetteer.","POINT (30.8 43.566667)",
"Darwin","Hill","SCUFN-17","Robert Whitmarsh, U. of South Hampton, UK","2003",,,"Named after the British research ship RRS Charles Darwin which discovered the feature, and indirectly after Charles Darwin, the 19th century scientist who discovered natural selection and evolution.",,"POINT (56.7272102863551 -3.3582533902016)",
"Davey","Bank","SCUFN-25","Professor P. Barrett, Antarctic Research Centre, New Zealand",,"M/V Benjamin Bowring",,"Dr. Fred J. Davey has carried out marine geophysical research in Antarctica since 1965 and prepared several published bathymetric charts of the Ross Sea. The bank was discovered during one of his surveys in 1981. He was Secretary/Vice-President of SCAR (ICSU Scientific Committee on Antarctic Research) for four years.","Minimum depth: 130 m; Maximum depth: 680 m; Total relief: 550 m. The feature is on the continental shelf, approximately 15 km long in north-south direction and 1 km wide. Feature previously updated at SCUFN-20. Feature previously updated at SCUFN-20.","POLYGON ((166.446167 -76.25061035, 166.390686 -76.20593262, 166.3651733 -76.16400146, 166.4401855 -76.12884521, 166.3422852 -76.12121582, 166.2871094 -76.14971924, 166.260498 -76.18017578, 166.289978 -76.22497559, 166.3935547 -76.2600708, 166.446167 -76.25061035))",
"David","Spur","SCUFN-13","Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,,,,"Formerly, David Seaknoll. Shown as Knoll in the ACUF Gazetteer.","POINT (50.25 6.4)",
"Davidson","Bank",,,,,,,,"POINT (-163.75 54)",
"Davidson","Seamount",,,,,,,,"POINT (-122.716667 35.716667)",
"Davie","Ridge",,,,,,,,"LINESTRING (41.583333 -14.5, 41.833333 -19)",
"Davie","Seamount","SCUFN-25","Eric S. W. Simpson and E. Forder, University of Cape Town (UCT), South Africa",,"South African research vessel ""Thomas B. Davie""",,,,"POINT (23.4358772168178 -36.3820523878203)",
"Davis","Bank",,,,,,,,"POINT (-34.75 -20.583333)",
"Davis","Sill",,,,,,,,"POINT (-57 65.5)",
"Davis","Seamounts",,,,,,,,"POINT (4.2 -51.666667)",
"Dawson-Lambton","Trough","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Name taken from the associated ""Dawson-Lambton Glacier"", which was named after Elizabeth Dawson-Lambton, benefactress of the Shackleton expeditions.",,"LINESTRING (-27.1833 -76.0933, -26.6333 -76.1167)",
"Day","Seamount",,,,,,,,"POINT (-156.333333 18.666667)",
"Day","Canyon","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Named after Mr. A. Day, British geophysicist.",,"LINESTRING (-9.75833333333333 48.15, -10.155 47.97)",
"De Covilhao","Trough",,"Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"Various (Largely British)",,"Named after Pedro de Covilhâo, a Portuguese traveller who in 1490 went by dhow from Aden to Calicut and very likely passed over this trough.",,"POINT (63.333333 22.75)",
"De Gerlache","Seamounts",,,,,,"Named after Adrien de Gerlache, leader of the Belgian Antarctic ""Belgica"" expedition 1896-1899. [See also Lecointe]",,"POINT (-90.5 -65)",
"De Guerne","Seamount","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)","2000",,,"Name of the French naturalist Jules Malotau, baron of Guerne (1855-1931), who organised the scientific campaigns of prince Albert of Monaco, particulary on board Princesse Alice to the Azores cruises (1895).","Two small peaks on top of seamount.","POINT (-28.6935709644209 37.8856592376439)",
"De Krafft","Seamount",,,,,,,,"POINT (-156.26548055007 13.9912950637059)",
"De Santarém-Escobar","Bank","SCUFN-14","Olivier Parvillers, French Hydrographic Office (SHOM)",,,,"Named after the two Portugese mariners Joao de Santarem and Pedro Escobar who discovered Principe and Sao Tomé in 1471.","Least depth: 77 m.","LINESTRING (7.966667 3.033333, 8.25 2.783333, 8.283333 2.45)",
"De Soto","Valley","SCUFN-16","Lic. J. L. Frias Salazar, INEGI, Mexico and L. Taylor, NGDC, USA",,,,"Named after the Spanish explorer of the Gulf of Mexico: Hernando de Soto (1500-1542)","Shown as De Soto Canyon in ACUF Gazetteer.","LINESTRING (-87.6 28.7, -86.916667 29.45)",
"De Veuster","Seamount","SCUFN-25","Jacqueline Mammerickx, Scripps Institution of Oceanography (SIO), USA",,,,"Joseph de Veuster is a missionary who voluntarily exiled himself to a lifetime ministry in the leper colony of Molokai where he contracted the disease. He was known as Father Damian and has remained a popular and heroic figure in the history of Hawaii.",,"POINT (177.57548895401 30.3701720924457)",
"Deacon","Seamount",,"R. T. Pollard",,"British research vessel ""Discovery II""",,"Sir George Deacon pioneered much work in southern Oceans and Antarctic, including Crozet area.",,"POINT (43.8 -47.65)",
"Debussy","Seamount",,,,,,,,"POINT (-162.083333 30.3)",
"Defant","Bank","SCUFN-12","Heinrich Hinze, Alfred-Wegener Institute for Polar and Marine Research (AWI), Germany",,,,"Named after Albert Defant (1884-1974), Australian meteorologist and oceanographer. Author of two-volume""Physical Oceanography""(1961).","Least depth: <200 m.","POINT (-31.666667 -76.833333)",
"Dehlinger","Seamount",,,,,,,,"POINT (-137.316667 42)",
"Del Cano","Rise",,"Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"Various ships",,"Juan Sebastian Del Cano, pilot sailing with Ferdinand Magellan, brought the Victoria back to Portugal following death of Magellan. He was the master of Victoria (Vittoria) which passed near the locality when completing first circumnavigation of globe (1519-1522). The ship passed near this rise before rounding Cape of Good Hope. Discovered by various ships operating between South Africa and Crozet Archipelago.",,"LINESTRING (39.5 -45.25, 47 -45.5)",
"Del Cano","Guyot","SCUFN-10",,,,,"Named from Juan Sebastian Del Cano (1486-1526), Spanish pilot sailing with Ferdinand Magellan, who brought caravel Vittoria to Seville in 1522, completing first circumnavigation of globe (1519-1522) begun under Magellan. The ship passed near this rise before rounding Cape of Good Hope.","Adopted from ACUF Gazetteer in 1993.","POINT (148.419770990553 16.0089256973103)",
"Del Toro","Canyon",,,,,,,"Shown as Toro Canyon in the ACUF Gazetteer.","POINT (8.216667 38.5)",
"Delan","Basin",,,,,,,,"POINT (-114 30.75)",
"Delesse","Spur","SCUFN-14","R. Le Suavé & J.-F. Bourillet, IFREMER, France",,,,"Named after Mr. Delesse, hydrographer and author of one of the""first lithologic map of the French seas.""","Very irregular outline and surface. Long and thin curving.","LINESTRING (-7.025 47.5417, -7.1119 47.4628, -7.1471 47.4122, -7.1989 47.3658, -7.2435 47.3313, -7.2953 47.3038, -7.3554 47.2756, -7.4165 47.2509, -7.4828 47.246, -7.55 47.25)",
"Delfin","Basin",,,,,,,,"POINT (-113.833333 29.666667)",
"Delgada","Canyon",,,,,,,,"POINT (-124.166667 40.033333)",
"Delgada","Fan",,,,,,,,"POINT (-125 39.25)",
"Dellwood","Knolls",,,,,,,,"POINT (-130.25 50.7)",
"Dellwood","Seamounts",,,,,,,,"POINT (-130.7 50.616667)",
"Demerara","Plateau",,,,,,,,"POINT (-53.5 8.166667)",
"Demerara","Abyssal Plain",,,,,,,"Shown as Demerara Plain in the ACUF Gazetteer.","POINT (-51 10)",
"Denson","Seamount",,,,,,,,"POINT (-137.38458867011 54.0744894008106)",
"Derickson","Seamount",,,,,,,,"POINT (-161.268976662901 52.9263613568211)",
"Derwent Hunter","Guyot",,,,,,,"Shown as Derwent Hunter Tablemount in the ACUF Gazetteer.","POINT (156.166667 -30.833333)",
"Deryugin","Basin","SCUFN-15","Gleb B. Udintsev, Institute of Oceanology of the Russian Academy of Sciences (IO RAS), Institute of Oceanology, Russian Academy of Sciences (IO RAS), 
Nakhimovskiy pr., 36, Moscow, Russia, 117218",,"R/V Gagara",,"Named after K. M. Deryugin (1878-1938), leader of the Russian Pacific Ocean expedition 1932-1935, that carried out systematic survey of the Okhotsk Sea on R/V""Gagara.""","Shown as ""Deryugina"" on Chart INT 512.","POINT (145.75 53.5)",
"Des Moines","Canyon",,,,,,,,"POINT (8.683333 41.516667)",
"Desbarres","Canyon",,,,,,,"Shown as DesBarres Canyon in the ACUF Gazetteer.","POINT (-53.45 44)",
"Descartes","Seamount",,,,,,,,"POINT (-108.75 14.1)",
"Descheo","Valley",,"Troy L. Holcombe, National Geophysical Data Center (NGDC), USA",,,,"This feature is due south from Descheo Canyon which is south of Descheo Island.","Shown as Desecheo Basin in ACUF Gazetteer.","LINESTRING (-67.716667 18.1, -67.383333 17.516667)",
"Descobridores","Hills","SCUFN-13","Jean-René Vanney, University of Paris IV, France",,,,"Named in honour of the Portuguese discoverers of the 15th and 16th centuries (""descobridores""means""discoverers""in Portuguese).",,"POINT (-9.25 37.216667)",
"Detroit","Rise",,,,,,,"Shown as Detroit Tablemount in the ACUF Gazetteer.","POINT (167.75 51.25)",
"Deutschland","Canyon",,,,,,,,"LINESTRING (-32.195 -73.3717, -30.5167 -72.595, -29.495 -71.9233, -27.0417 -71.13, -26.2033 -71.0433, -25.8617 -70.8933, -24.3683 -70.5683)",
"Devils","Hole",,,,,,,,"POINT (0.666667 56.633333)",
"Devonport","Seamount","SCUFN-25",,,,,,"A seamount in the South Fiji Basin, west of Three Kings Ridge. References: INT 600; NZ 14060; NZ 14061; NZ 14605; NZ 223F","POINT (175.3807 -31.5597)","POLYGON ((175.4394 -31.4725, 175.3339 -31.4478, 175.2425 -31.5275, 175.2961 -31.6297, 175.4086 -31.66, 175.5186 -31.6083, 175.5067 -31.4942, 175.4394 -31.4725))"
"Diamantina","Fracture Zone",,,,"U.S. research vessels ""Vema"" and ""Argo""","1960","Named from the Australian vessel H.M.A.S ""Diamantina"".","Not a Fracture Zone in customary sense of accepted terminology. This feature marks the break between ""Broken Ridge"" (actually a Plateau) and the northeast flank of Kerguelen Plateau. Much of this ""zone"" is represented by ""Diamantina Escarpment,"" a more appropriate term.","LINESTRING (101.450623581787 -33.9429769578226, 102.706978992866 -34.9851808783763, 105.191136282953 -35.984554500825, 106.627061684604 -36.2039408055626)",
"Diamantina","Escarpment","SCUFN-10","J. J. Doyle, Australian Hydrographic Service (AHS)","1992",,,"Named from the Australian H.M.A.S ""Diamantina"".","This Escarpment runs along the whole of the south side of ""Broken Ridge"". Taken from the AGSO bathymetric map ""Eyre"".","LINESTRING (90 -31, 90.392413671875 -30.838331640625, 90.9341 -30.7986453125, 91.78 -30.7977, 92.2797 -30.8907, 93.13675390625 -30.976786328125, 93.7102 -31.1906, 94.3944 -31.4363, 94.8174 -31.6068, 95.409268359375 -31.810631640625, 95.984395703125 -31.97473671875, 96.7828 -32.275, 97.5798 -32.3297, 98.3005 -32.3595, 99.195309375 -32.3155546875, 100.285068359375 -32.3155546875, 102.5 -32.6667)",
"Diamantina (East)","Zone","SCUFN-10",,,,,,"SCGN-10 (1993) was of the opinion that the use of this name does not appear to be desirable. Taken from the AGSO bathymetric map ""Eyre"".","POINT (128 -37.5)",
"Diana","Bank",,,,,,,"Shown as Diana Reef in the ACUF Gazetteer.","POINT (-74.783333 22.516667)",
"Diane","Bank",,,,,,,,"POINT (149.666667 -16)",
"Dibner","Seamount","SCUFN-21","Galina V. Agapova and Ksenia O. Dobrolyubova, Geological Institute of the Russian Academy of Sciences (GIN RAS)",,"Russian R/V Nikolay Strakhov",,"Named after Vitaly Davydovich Dibner (1918-2007), a professor and Russian marine geomorphologist and geologist, explorer of the Arctic and World Ocean. From 1948, he studied the islands and straits of Franz-Iosef Land, Barents Sea, Norwegian-Greenland basin, Davis Strait and the North Atlantic. He developed methods of geomorphological and geological mapping of polar seas, and morphostructural prognosis of oil and gas structures. He was the author of the first geomorphologic and tectonic maps of the Arctic.","Minimum depth: 990 m; Maximum depth: ~2900 m; Total relief: >1900 m. The seamount is located on the west side of the Knipovich Ridge.","POINT (7.336666667 74.2586666667)",
"Dickins","Seamount",,,,,,,,"POINT (-137 54.5)",
"Diebold","Seamount","SCUFN-24","U.S. Board on Geographic Names (Executive Secretary), U.S. Board on Geographic Names, National Geospatial-Intelligence Agency, 4600 Sangamore Road, Mail Stop D-61, Bethesda MD 20816-5003, USA",,"R/V Melville cruise M9907",,"Proposer: Executive Secretary, US Board on Geographic Names, National Geospatial-Intelligence Agency, 4600 Sangamore Road, Mail Stop D-61, Bethesda MD 20816-5003, USA
Date of Proposal: September 2011
Discoverer: R/V Melville cruise M9907
Date of Discovery: July 1999

The Sub-Committee agreed that, due to its size, the feature was a Knoll and not a Seamount as proposed.
Named after marine geophysicist John Diebold, who died of a heart attack on July 1, 2010 at age 66. Through his development of techniques to explore the ocean basins and his selfless efforts to manage ships operated by the Lamont Doherty Earth Observatory, Dr. Diebold had a profound effect on our knowledge of the structure of Earth''s crust beneath the ocean basins.","Position: Northeastern Pacific Ocean
Minimum Depth: 2250 m
Maximum Depth: 3000 m
Total Relief: 750 m
Dimension/Size: 8 × 12 km; top roughly flat with two peaks; sides with slope ~ 12°

Outcome: ADOPTED from the ACUF Gazetteer as Diebold Knoll, with details as above.","POINT (-126.167 43.883)",
"Dingaan","Fracture Zone",,,,,,,,"LINESTRING (11.5 -53.5, 15.25 -50.75)",
"Diogo Cao","Hole","SCUFN-13",,,,,"Named after the Portuguese navigator. In 1483, looking for a passage between the Atlantic and the Indian Ocean, he followed the Western Coast of Africa and discovered the mouth of the Congo River.",,"POINT (-7.666667 36.666667)",
"Diogo de Silves","Hole","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Named after the Portuguese pilot Diogo de Silves who first identified the Azores in 1427. [Former name: Este Graciosa (East Graciosa Basin, See Searle, 1980)].","Local depression, relief about 1000 m.","POINT (-27.666667 38.933333)",
"Diogo de Teive","Hills","SCUFN-14","Jean-René Vanney, University of Paris IV, France; and Portuguese Hydrographic Office (Instituto Hidrografico)",,,,"Named after the Portugese Navigator Diogo de Teive who, in 1452, reached the Western Azores Islands.","Isolated. Relief only 600-800 m.","POINT (-31.2 39)",
"Dirck Hartog","Ridge",,"R. Markl, L-DGO",,"Ships of the International Indian Ocean Expedition (IIOE)",,"Dirck Hartog was Captain of the V.O.C. ship Eendracht (1616) that made first landing in Southwest Australia, near Shark's Bay.","Shown as Hartog Ridge in the ACUF Gazetteer.","LINESTRING (105 -29.25, 105.2793 -29.4564, 105.458976953125 -29.638495703125, 105.392104296875 -29.8359546875, 105.1895 -30.005, 105.1626 -30.4027, 105.022329882813 -30.67056796875, 105.079813671875 -30.96040859375, 105.22947265625 -31.13444609375, 105.245309375 -31.536605078125, 105.405 -32.199, 105.3333 -32.6667)",
"Diriangen","Bank",,,,,,,,"POINT (-81 16.333333)",
"Discoverer","Knoll",,,,,,,"Shown as Discoverer Seamount in ACUF Gazetteer.","POINT (-140 -1.85)",
"Discovery","Seamounts",,,,,,,,"LINESTRING (-3 -43.5, 2 -42)",
"Discovery","Guyot","SCUFN-18",,,,,,"Shown as Discovery Tablemount in the ACUF Gazetteer.","POINT (0.166666666666714 -42)",
"Discovery","Bank",,"Capt. J. J. Doyle, Australian HO",,,,"Named after RRS Discovery which undertook important bathymetric charting and oceanographic work in this vicinity on the first Banzare voyage in 1929-1930.","A submarine bank on the Kerguelen Plateau 108 nmi northwest of Heard Island. The bank is about 200 m deep.","POINT (72.833333 -51.25)",
"Discovery","Hole","SCUFN-12",,,,,"Named after the ship Discovery.","Shown as Discovery Basin in ACUF Gazetteer.","POINT (38.05 21.283333)",
"Discovery II","Fracture Zone",,"Robert L. Fisher, Scripps Institution of Oceanography (SIO), USA",,"U.K. Antarctic R/V Discovery II on passage, 1935-1937",,"UK's R/V Discovery II crossed deep area in 1935-1937 and in 1961. Exploration and delineation by SIO's R/V Melville in 1978, 1984.",,"LINESTRING (41.333333 -44.5, 43.5 -39)",
"Dispatch","Seamount",,,,,,,,"POINT (-119.333333 27.7)",
